Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
3.410996583,2.187402299,1.182571299,1.028718045,2.690996936
3.420998583,2.200215887,1.073857527,0.802492195,2.576453699
3.431000583,2.256162631,0.90585942,0.458528419,2.474085572
3.441001583,2.415728761,0.659197551,0.224811409,2.5141255
3.451003583,2.489955509,0.286505966,0.066074122,2.507255451
3.461005583,2.558167958,-0.145829558,0.001689845,2.562321685
3.471007583,2.572397742,-0.511588685,-0.048242453,2.623219483
3.481009583,2.450908973,-0.818957516,-0.23380121,2.594669384
3.491010583,2.236294816,-1.044632558,-0.463802023,2.511450577
3.501012583,2.162246992,-1.121419948,-0.717950959,2.539359828
3.511014583,2.111866651,-1.107615842,-0.970385345,2.57457595
3.521016583,2.062717296,-1.042383134,-1.148915457,2.58096338
3.531018583,2.012873583,-0.915503232,-1.058437834,2.451549893
3.541019583,1.889626556,-0.85043951,-0.654119829,2.172972303
3.551021583,1.933981195,-1.031565201,0.051521571,2.192501881
3.561023583,2.252854715,-1.361103165,0.792577803,2.748842623
3.571025583,2.703836718,-1.642012761,1.457643912,3.483053929
3.581027583,2.738468314,-1.759883857,1.682685993,3.66440064
3.591028583,2.272627367,-1.516905735,1.164479137,2.970159898
3.601030583,1.429255533,-1.031721906,-0.165853933,1.770516591
3.611032583,0.284757356,-0.553808506,-2.000507891,2.09519031
3.621034583,-0.55871527,-0.337587242,-3.873908424,3.92852318
3.631035583,-0.904549424,-0.197516021,-5.063141456,5.147098565
3.641037583,-0.803151469,0.190129234,-4.976047179,5.044030822
3.651039583,-0.870227438,0.425666775,-3.841364868,3.961637546
3.661041583,-0.9433658,0.559218349,-2.371899641,2.613153669
3.671043583,-0.840583078,0.529926138,-0.899277209,1.340186972
3.681044583,-1.253175551,0.106442714,0.313463238,1.296162881
3.691046583,-2.180674346,-0.479970451,1.051668513,2.468140778
3.701048583,-3.156574054,-1.1905393,1.833075502,3.83946733
3.711050583,-3.893386961,-1.424451315,2.459584486,4.820485393
3.721052583,-4.363527073,-0.874649906,2.63370112,5.171243812
3.731053583,-4.488944879,-0.130905125,2.484244534,5.132176261
3.741055583,-4.354728768,0.552712153,2.118095983,4.873959782
3.751057583,-4.172916906,0.816080101,1.738972606,4.593827158
3.761059583,-3.847050993,0.737774189,1.358547347,4.146053906
3.771061583,-3.490084032,0.415274518,1.453397956,3.803354453
3.781062583,-3.036214675,0.171268455,1.822832057,3.545511126
3.791064583,-2.58253389,0.007703707,1.749451255,3.119314081
3.801066583,-2.15067009,-0.061260109,1.586894567,2.673456378
3.811068583,-1.638394211,-0.080306829,2.02361828,2.604959831
3.821069583,-1.247268986,-0.190789384,2.444442975,2.750887488
3.831071583,-0.999666885,-0.343566604,2.531544415,2.743371834
3.841073583,-0.670372165,-0.32596707,2.257802337,2.377672131
3.851075583,-0.364925277,-0.266954046,1.560599492,1.62477866
3.861077583,-0.138106602,-0.210852935,0.829791822,0.867229417
3.871078583,0.103145012,-0.023088316,0.320840231,0.337802335
3.881080583,0.451784971,0.333062666,0.046741326,0.563227442
3.891082583,0.726501269,0.806819866,-0.161999449,1.097727749
3.901084583,0.836123918,1.257586398,-0.216887408,1.525669329
3.911086083,0.847375203,1.440897778,0.119536091,1.675863962
3.921087083,0.988823004,1.558105216,0.227806352,1.859397357
3.931089083,1.170477357,1.649431708,0.277984818,2.041547884
3.941091083,1.409371199,1.502128066,0.362569178,2.091452202
3.951093083,1.672186148,1.20452584,0.596262215,2.145371212
3.961095083,2.019031578,1.023809454,0.79008455,2.397688034
3.971096083,2.061103464,0.816725049,0.93160588,2.404802863
3.981098083,1.956569866,0.79461965,0.802492341,2.259110442
3.991100083,1.877961946,0.781823604,0.79159547,2.182799259
4.001102083,1.955384928,0.620262696,0.944761969,2.258501983
4.011104083,2.013896407,0.509763769,0.929717229,2.275963964
4.021105083,2.062620232,0.453873743,0.517240311,2.174382932
4.031107083,2.303867286,0.45382638,-0.076856387,2.349397744
4.041109083,2.567094902,0.601487871,-0.022476551,2.636715588
4.051111083,2.51004625,0.792747957,0.563598937,2.691918509
4.061112083,2.550816838,1.125041714,0.814000831,2.904304177
4.071114083,2.696535007,1.441380174,1.455921614,3.386530023
4.081116083,2.634187608,1.618728563,1.983175575,3.673174632
4.091118083,2.663335686,1.689672246,2.192977765,3.841549265
4.101120083,2.530622894,1.619348953,2.747209609,4.071056853
4.111121083,2.556699429,1.625923562,3.011732967,4.272104267
4.121123083,2.63110174,1.51040597,2.68446957,4.050975121
4.131125083,2.510496778,1.498672947,2.859984273,4.090003021
4.141127083,2.253458148,1.559656482,2.860128114,3.961178461
4.151129083,1.937643306,1.454056937,2.839666952,3.732619932
4.161130083,1.664763107,1.374373421,2.873630505,3.594174562
4.171132083,1.244023343,1.152296755,2.916881189,3.373955803
4.181134083,0.880487035,0.769038666,3.18135777,3.389353205
4.191136083,0.582484859,0.361714607,3.430235149,3.4980908
4.201138083,0.217019117,-0.129915776,3.575576465,3.584511467
4.211139083,-0.27110133,-0.731840435,3.689542206,3.771181253
4.221141083,-0.375881826,-1.363932633,3.509724537,3.784146628
4.231143083,0.109565273,-1.73642015,3.276697206,3.709973594
4.241145083,0.596370681,-1.852844646,3.863538972,4.326155875
4.251147083,1.118439476,-1.747549741,4.513914244,4.967922982
4.261148083,1.711584833,-1.450434587,5.129017357,5.598223127
4.271150083,2.289471588,-1.053398119,4.978459155,5.579998504
4.281152083,2.846182505,-0.659731402,3.819222339,4.808581875
4.291154083,3.505087987,-0.167373624,2.869055643,4.532674267
4.301156083,4.259853893,0.020675755,2.184717404,4.787459954
4.311157083,4.804584596,-0.219283451,1.580107119,5.062495124
4.321159083,4.477569705,-0.458221148,0.920662742,4.594150299
4.331161083,3.595919805,-0.759237564,0.654110473,3.732953446
4.341163083,2.792386367,-0.840342538,0.756401006,3.012596834
4.351165083,2.141046158,-1.003150656,-0.171511114,2.370612991
4.361166083,1.511811494,-1.489996263,-1.359784618,2.520848481
4.371168083,0.862308846,-2.168484364,-1.48596914,2.766587296
4.381170083,0.128063963,-3.290919973,-1.474025179,3.608227387
4.391172083,-0.716830194,-4.892433749,-1.534750852,5.177375174
4.401174083,-2.14114863,-6.800671992,-1.236479265,7.236196375
